cve_id,year,cwe,cvss_v3,cvss_v3_severity,cvss_v2,cvss_source,threat_ids,overlap_flag
CVE-2021-4093,2022,CWE-125,8.8,HIGH,7.2,v3.1,P-01,false
CVE-2021-3656,2022,CWE-862,8.8,HIGH,7.2,v3.1,P-01,false
CVE-2022-20777,2022,CWE-284,9.9,CRITICAL,9.0,v3.1,P-01,false
CVE-2022-20779,2022,CWE-284,9.9,CRITICAL,9.3,v3.1,P-01,false
CVE-2022-20780,2022,CWE-284,9.9,CRITICAL,4.3,v3.1,P-01,false
CVE-2022-31696,2022,CWE-787,8.8,HIGH,,v3.1,P-01,false
CVE-2023-29199,2023,CWE-913,9.8,CRITICAL,,v3.1,P-01,false
CVE-2023-30547,2023,CWE-74,9.8,CRITICAL,,v3.1,P-01,false
CVE-2023-32314,2023,CWE-74,9.8,CRITICAL,,v3.1,P-01,false
CVE-2023-37466,2023,CWE-94,9.8,CRITICAL,,v3.1,P-01,false
CVE-2023-37903,2023,CWE-78,9.8,CRITICAL,,v3.1,P-01,false
CVE-2023-6856,2023,CWE-787,8.8,HIGH,,v3.1,P-01,false
CVE-2024-22254,2024,CWE-787,7.9,HIGH,,v3.1,P-01,false
CVE-2024-34347,2024,CWE-77,8.3,HIGH,,v3.1,P-01,false
CVE-2024-6222,2024,CWE-923,7.0,HIGH,,v3.1,P-01,false
CVE-2024-6519,2024,CWE-416,8.2,HIGH,,v3.1,P-01,false
CVE-2022-49559,2025,NVD-CWE-noinfo,5.5,MEDIUM,,v3.1,P-01,false
CVE-2025-22225,2025,CWE-787,8.2,HIGH,,v3.1,P-01,false
CVE-2025-2509,2025,CWE-125,7.8,HIGH,,v3.1,P-01,false
CVE-2025-34267,2025,CWE-77,9.9,CRITICAL,,v3.1,P-01,false
CVE-2025-59824,2025,CWE-863,5.4,MEDIUM,,v3.1,P-01|P-22,true
CVE-2025-20112,2025,CWE-268,5.1,MEDIUM,,v3.1,P-01,false
CVE-2023-4155,2023,CWE-367,5.3,MEDIUM,,v3.1,P-01,false
CVE-2023-41880,2023,CWE-193,2.2,LOW,,v3.1,P-01,false
CVE-2023-46731,2023,CWE-94,10.0,CRITICAL,,v3.1,P-01,false
CVE-2023-28002,2023,CWE-354,6.4,MEDIUM,,v3.1,P-02,false
CVE-2021-47383,2024,CWE-125,7.1,HIGH,,v3.1,P-02,false
CVE-2024-9594,2024,CWE-798,6.3,MEDIUM,,v3.1,P-02,false
CVE-2022-49341,2025,NVD-CWE-noinfo,5.5,MEDIUM,,v3.1,P-02,false
CVE-2022-49546,2025,CWE-401,5.5,MEDIUM,,v3.1,P-02,false
CVE-2025-38407,2025,NVD-CWE-noinfo,5.5,MEDIUM,,v3.1,P-02,false
CVE-2025-7342,2025,CWE-798,7.5,HIGH,,v3.1,P-02,false
CVE-2025-11198,2025,CWE-306,7.4,HIGH,,v3.1,P-02,false
CVE-2025-40604,2025,CWE-494,9.8,CRITICAL,,v3.1,P-02,false
CVE-2024-29960,2024,CWE-798,6.8,MEDIUM,,v3.1,P-02,false
